time_s,fusion_absolute_error_cm,model1_fixed_absolute_error_cm,model2_fixed_absolute_error_cm
6.950000000000001,4.195619733748382,5.990493554873765,10.017023047109669
7.050000000000002,4.4774205656032855,5.959934782294156,10.341382059436985
7.150000000000001,4.864137350743161,5.869121451858159,10.565392651382256
7.250000000000001,5.292127147956308,5.764239855876919,10.666387931315455
7.350000000000001,5.67725903434424,5.679374123128941,10.626400432068262
7.450000000000001,5.95125748620955,5.621556253133775,10.446135882881759
7.550000000000002,6.075939381809188,5.562266373123103,10.14799483896916
7.650000000000001,6.030010822981606,5.448934875305011,9.765820793108189
7.750000000000001,5.797804757599951,5.236523354130107,9.334299229919695
7.850000000000001,5.381264927737854,4.927066007954617,8.887466752418296
7.950000000000001,4.8190596001170505,4.587930846283152,8.460315369041718
8.050000000000002,4.193761206229495,4.320774667998606,8.085653074286466
8.150000000000002,3.611496844416778,4.1984122512682545,7.788596962839093
8.250000000000002,3.1716362181503115,4.218699702572442,7.583189252400124
8.350000000000003,2.938829458776218,4.308074740574424,7.472626311837934
8.450000000000003,2.926907891246111,4.360534592728543,7.449368341277312
8.550000000000002,3.0993483280792806,4.286061212619208,7.498166627275603
8.650000000000002,3.3868329485960253,4.049721071482157,7.601066716463284
8.750000000000002,3.7132546192712357,3.680110206774904,7.742137248267425
8.850000000000003,4.013196091173903,3.251540699009292,7.908097023040585
8.950000000000003,4.241987346449729,2.8516226226572337,8.087402731697287
9.050000000000002,4.380114725314256,2.5569442041896084,8.270964588173204
9.150000000000002,4.42635408377301,2.416392156484425,8.453655440746067
9.250000000000002,4.383620409050088,2.4372519742419176,8.63403169228825
9.350000000000003,4.247061164604821,2.5845437253228223,8.811615934780084
9.450000000000003,4.014102830334633,2.79890579157276,8.983885094446297
9.550000000000002,3.7053721373653294,3.0221277677862126,9.14526586363484
9.650000000000002,3.3707768066778927,3.2072847398319944,9.28931863670603
9.750000000000002,3.0639476205780865,3.3228609568665717,9.411382065058268
9.850000000000003,2.810096033178414,3.354098310640492,9.50966291607804
9.950000000000003,2.595764671492363,3.297372957392022,9.58342197059163
10.050000000000002,2.3923188712407075,3.1512632362942874,9.6322475632454
10.150000000000002,2.1875326840872193,2.913162351460662,9.656721268481705
10.250000000000004,1.9982161221509869,2.595482571593057,9.65898618272039
10.350000000000003,1.853786388613396,2.239265473170947,9.642898747894023
10.450000000000003,1.7729653400554712,1.911819016395858,9.6152859570656
10.550000000000002,1.75801815548655,1.682629016306264,9.586550104445674
10.650000000000002,1.8066303574718021,1.5955344818428532,9.567603765076006
10.750000000000004,1.9188284842929604,1.6567282465947744,9.561992646440938
10.850000000000003,2.081137798799902,1.843241642482101,9.560527604029412
10.950000000000003,2.2506248558824744,2.1328995435463236,9.545039844908917
11.050000000000002,2.3681271642646124,2.5311855206721607,9.50189219309243
11.150000000000002,2.3968015403672642,3.0700613232905605,9.432994086179677
11.250000000000004,2.3548343658050976,3.7756219147914503,9.357265530080802
11.350000000000003,2.3064813975441774,4.632140574525493,9.3005506255549
11.450000000000003,2.321398926599303,5.576802770905827,9.282803970633315
11.550000000000002,2.434056906007381,6.5217474484739295,9.309633799125095
11.650000000000002,2.6300797954667816,7.385923123004048,9.370202369031743
11.750000000000004,2.8613691920787576,8.109170073019598,9.442857893129407
11.850000000000003,3.074025778138814,8.658658512495784,9.505371404188843
11.950000000000003,3.228596538792298,9.026172987292634,9.545505568027188
12.050000000000002,3.302801005300433,9.222304787045033,9.562618873372411
12.150000000000004,3.2899547109975127,9.263631815490296,9.560741478855185
12.250000000000004,3.1952577356969676,9.159507534815276,9.540968154213836
12.350000000000003,3.0347208419756617,8.909389354114108,9.503258324410483
12.450000000000003,2.823172600150494,8.510428314160082,9.455206251094394
12.550000000000002,2.5644428989649093,7.974015191174965,9.414631091269953
12.650000000000004,2.2572881022690914,7.343390934446589,9.398661583043832
12.750000000000004,1.9208692358028587,6.701692004674277,9.411385737642329
12.850000000000003,1.6172140918564315,6.154676466152792,9.444150847075052
12.950000000000003,1.4363681731710352,5.788803896392591,9.48584000375654
13.050000000000002,1.4488797373601905,5.6321208270686025,9.529866381198218
13.150000000000004,1.6618193838599966,5.647943660482594,9.57237387634611
13.250000000000004,2.017485701850758,5.761886853673112,9.60867631943775
13.350000000000003,2.4325401049962982,5.898610793621652,9.635138713396907
13.450000000000003,2.8432071123961267,6.018474184679379,9.652977149551289
13.550000000000002,3.221460698889246,6.133945738219387,9.667200948796443
13.650000000000004,3.5590965103066563,6.295763955211115,9.681160660226244
13.750000000000004,3.8511375334771345,6.548686245925162,9.693514212291184
13.850000000000003,4.089140241438068,6.889260558152065,9.700941769747468
13.950000000000003,4.266311669454344,7.259621328086869,9.706971071018797
14.050000000000004,4.381996765821152,7.577550591093693,9.72930647898569
14.150000000000004,4.44261685807215,7.773942038075004,9.796922020748527
14.250000000000004,4.4639894108913625,7.809673630199416,9.935850142122016
14.350000000000003,4.469605853225663,7.6749903117876475,10.142232711997618
14.450000000000003,4.480681671587231,7.381425814336496,10.364508608546265
14.550000000000004,4.504231710738051,6.958992405408886,10.51088480334723
