time_s,pid_absolute_error_cm,pid_signed_error_cm,smc_absolute_error_cm,smc_signed_error_cm,fusion_absolute_error_cm,fusion_signed_error_cm
3.1500000000000004,6.62090772313569,6.62090772313569,6.470563012641713,6.470563012641713,4.620711484098336,-3.349714674027395
3.2500000000000004,6.875624212741336,6.875624212741336,6.511691985684,6.511691985684,4.229076067058071,-2.394106171682881
3.3500000000000005,7.124164107817465,7.124164107817465,6.579627417471234,6.579627417471234,3.947436715173242,-1.3867692504487574
3.4500000000000006,7.342687775377738,7.342687775377738,6.69863543037896,6.69863543037896,3.8487195367543627,-0.3532964858844752
3.5500000000000007,7.5168870406460275,7.5168870406460275,6.8746690715701995,6.8746690715701995,3.9808330695429284,0.6677368037712621
3.6500000000000004,7.635130421004611,7.635130421004611,7.096446383501654,7.096446383501654,4.334919613378436,1.621065533789228
3.7500000000000004,7.686537983581238,7.686537983581238,7.344347916274071,7.344347916274071,4.839005375955119,2.451443890303231
3.8500000000000005,7.6774294165888275,7.6774294165888275,7.599274859675021,7.599274859675021,5.385679637319251,3.124818600887727
3.9500000000000006,7.637346123354323,7.637346123354323,7.8479040776690345,7.8479040776690345,5.868354861314038,3.6256964767811217
4.050000000000001,7.604011868320883,7.604011868320883,8.084048236344085,8.084048236344085,6.1980626569152575,3.940535640581426
4.15,7.603553882570949,7.603553882570949,8.307366261447065,8.307366261447065,6.309797140572778,4.0490777993812594
4.250000000000001,7.646572857545037,7.646572857545037,8.523696657854025,8.523696657854025,6.170714759348174,3.938870623254705
4.3500000000000005,7.731223470403296,7.730972788741645,8.745048221548515,8.745048221548515,5.790405241712221,3.6235297214146165
4.450000000000001,7.845664161860224,7.84431495786169,8.984563450454525,8.984563450454525,5.2176895699156205,3.14530800366003
4.550000000000001,7.9541778615267935,7.949323069923712,9.244898318264317,9.244898318264317,4.520053343141751,2.5579776937473744
4.65,8.00164164586209,7.98807907389132,9.507604284630467,9.507604284630467,3.7707609015567933,1.9100330337567766
4.750000000000001,7.9431788231664795,7.904169302524571,9.737104458714818,9.737104458714818,3.0469859058433038,1.2396783086575949
4.8500000000000005,7.783795753393644,7.685128917134264,9.898687723166264,9.898687723166264,2.43091796839151,0.5772615034500712
4.950000000000001,7.599681060486315,7.365977085181186,9.977709545752676,9.977709545752676,1.9978157960301481,-0.056749800628482616
5.050000000000001,7.5044218637558755,6.991910818604902,9.98227605672152,9.98227605672152,1.7947380469847254,-0.6561942629618389
5.150000000000001,7.581747915704033,6.572036318900077,9.93146943197507,9.93146943197507,1.8244957695649062,-1.2256620023799032
5.250000000000001,7.829512303200187,6.091185864444597,9.841168377876729,9.841168377876729,2.0457514093241587,-1.7683337680278113
5.3500000000000005,8.17422871781018,5.5482028094051845,9.72191031681245,9.72191031681245,2.3892304312519923,-2.2786682983724162
5.450000000000001,8.529475359007472,4.960170435787324,9.580791416076787,9.580791416076787,2.7823490058379936,-2.7455643442686952
5.550000000000001,8.852313643336537,4.334895606549497,9.415789491744528,9.415789491744528,3.170044946055073,-3.1601430709570675
5.650000000000001,9.128358331568338,3.665635584563823,9.208348264295395,9.208348264295395,3.520889865801958,-3.5189454683231443
5.750000000000001,9.316820782692997,2.943668622895185,8.935316162865648,8.935316162865648,3.821196498972338,-3.821060919217738
5.8500000000000005,9.345170692626466,2.163664465289777,8.593784211747373,8.593784211747373,4.064414065923836,-4.064414065923836
5.950000000000001,9.167625774322094,1.319276031034795,8.21041141490194,8.21041141490194,4.244200005817226,-4.243503960527065
6.050000000000001,8.815057711250907,0.42890755445922985,7.821987558095221,7.821987558095221,4.353067931811382,-4.349038339005481
6.150000000000001,8.372734151295113,-0.4423183616371196,7.455077680975358,7.455077680975358,4.384008775656576,-4.368857252724176
6.250000000000001,7.9094122597346495,-1.2083934429538146,7.125100765675728,7.125100765675728,4.3378254445700755,-4.293544920312152
6.350000000000001,7.447725576490411,-1.8169230337024274,6.844928723101283,6.844928723101283,4.233382996514654,-4.128176011144942
6.450000000000001,6.991845704238542,-2.261493912524998,6.622590896784997,6.622590896784997,4.109928587985888,-3.9007721918040485
6.550000000000001,6.548503121600678,-2.551147304977751,6.45603835284643,6.45603835284643,4.01018380447461,-3.652995789116046
6.650000000000001,6.1112429130871435,-2.6842960793082984,6.335769053938166,6.335769053938166,3.9592709156354817,-3.416266308290083
6.750000000000001,5.651539817491168,-2.6547403459078858,6.2545917226290815,6.2545917226290815,3.963254763071154,-3.198366903955653
6.850000000000001,5.155677004690361,-2.4705843956463207,6.210377041435226,6.210377041435226,4.032614956721375,-2.994402977906244
6.950000000000001,4.658243383199377,-2.1525088629370144,6.203976170374722,6.203976170374722,4.195619733748382,-2.803425539108355
7.050000000000002,4.216812124413422,-1.7162206084755882,6.236024179358331,6.236024179358331,4.4774205656032855,-2.6279637527911714
7.150000000000001,3.853140092993289,-1.1672164370395848,6.306425242905378,6.306425242905378,4.864137350743161,-2.461474772654241
7.250000000000001,3.543710272314372,-0.5309731426057901,6.414867457516353,6.414867457516353,5.292127147956308,-2.2851560359805987
7.350000000000001,3.265243400514665,0.125026317046139,6.560905717855415,6.560905717855415,5.67725903434424,-2.0797084070232805
7.450000000000001,3.0242798719526593,0.7185521155394564,6.743483077759773,6.743483077759773,5.95125748620955,-1.8334373003650921
7.550000000000002,2.8408435001889156,1.2141039148281099,6.9557203042241085,6.9557203042241085,6.075939381809188,-1.5405734343993442
7.650000000000001,2.7255437009846006,1.63212873856524,7.178985254745422,7.178985254745422,6.030010822981606,-1.194785883349583
7.750000000000001,2.69867845798802,2.025515756803951,7.382777158386797,7.382777158386797,5.797804757599951,-0.7935152049381795
7.850000000000001,2.8104800672536165,2.4488849677863946,7.535444412642821,7.535444412642821,5.381264927737854,-0.34698581039715826
7.950000000000001,3.1110066131495135,2.948785885677696,7.618676015309043,7.618676015309043,4.8190596001170505,0.1190703033623338
8.050000000000002,3.5918756971795625,3.531840004051555,7.634986016563916,7.634986016563916,4.193761206229495,0.5775718190449448
8.150000000000002,4.159270973692372,4.141888297609777,7.601327391711464,7.601327391711464,3.611496844416778,1.0140392389900497
8.250000000000002,4.6952594201611895,4.6917395775349835,7.53911291394799,7.53911291394799,3.1716362181503115,1.4249535109736486
8.350000000000003,5.1356841584178365,5.1356841584178365,7.468423832671233,7.468423832671233,2.938829458776218,1.8052145038322165
8.450000000000003,5.492259049188936,5.492259049188936,7.408052780905399,7.408052780905399,2.926907891246111,2.145289037880054
8.550000000000002,5.802275280430115,5.802275280430115,7.37314804608422,7.37314804608422,3.0993483280792806,2.441385106496492
8.650000000000002,6.083829129291236,6.083829129291236,7.372851630173544,7.372851630173544,3.3868329485960253,2.700838741204485
8.750000000000002,6.332821009823992,6.332821009823992,7.408826152245314,7.408826152245314,3.7132546192712357,2.9307023664466394
8.850000000000003,6.5440735526734075,6.5440735526734075,7.479271888237681,7.479271888237681,4.013196091173903,3.127024881461785
8.950000000000003,6.727516971176156,6.727516971176156,7.5813016743296116,7.5813016743296116,4.241987346449729,3.2770293489452405
9.050000000000002,6.900132012928271,6.900132012928271,7.7110135749611395,7.7110135749611395,4.380114725314256,3.3735407476196513
9.150000000000002,7.0743827546260505,7.0743827546260505,7.859096314781845,7.859096314781845,4.42635408377301,3.4183066232373984
9.250000000000002,7.2427885319756165,7.2427885319756165,8.009728652044583,8.009728652044583,4.383620409050088,3.414713352451609
9.350000000000003,7.373072386066776,7.373072386066776,8.144650988845342,8.144650988845342,4.247061164604821,3.3608589617100897
9.450000000000003,7.422424790111213,7.422424790111213,8.25110112717914,8.25110112717914,4.014102830334633,3.2568195031914717
9.550000000000002,7.360757985956518,7.3595764458238175,8.324867319258024,8.324867319258024,3.7053721373653294,3.1155427931866932
9.650000000000002,7.188152827967281,7.182264653043573,8.368426558183478,8.368426558183478,3.3707768066778927,2.9629484465179043
9.750000000000002,6.9279386551344295,6.907506514917056,8.38657052434338,8.38657052434338,3.0639476205780865,2.819711495305244
9.850000000000003,6.608779458131878,6.553333495928778,8.384034326545397,8.384034326545397,2.810096033178414,2.6853359522848135
9.950000000000003,6.255379667195829,6.128183318436875,8.361391479264185,8.361391479264185,2.595764671492363,2.538660069046092
10.050000000000002,5.903061143264542,5.655753868165424,8.311412477694933,8.311412477694933,2.3923188712407075,2.355968348378606
10.150000000000002,5.619102153420924,5.188225045491296,8.223189870173112,8.223189870173112,2.1875326840872193,2.1279779667290892
10.250000000000004,5.485109807039863,4.77952441334584,8.096198657904349,8.096198657904349,1.9982161221509869,1.8644852240765462
10.350000000000003,5.54885692578992,4.442837988615976,7.951172185982573,7.951172185982573,1.853786388613396,1.5815558442210023
10.450000000000003,5.777603197898572,4.1459692007589535,7.825303353555029,7.825303353555029,1.7729653400554712,1.2877987827917603
10.550000000000002,6.0633420936701485,3.846002801353513,7.753777136484275,7.753777136484275,1.75801815548655,0.9794671162371918
10.650000000000002,6.282530270294554,3.516317850254995,7.754113871814277,7.754113871814277,1.8066303574718021,0.6458361777097197
10.750000000000004,6.367223984312951,3.1480539243225105,7.82361699007388,7.82361699007388,1.9188284842929604,0.2801529446578522
10.850000000000003,6.322550198436522,2.7427418482147004,7.947304332344388,7.947304332344388,2.081137798799902,-0.1132979504240336
10.950000000000003,6.190482632945565,2.312388067153317,8.106193667431903,8.106193667431903,2.2506248558824744,-0.5167071757809356
11.050000000000002,6.002863518324265,1.8671885526963867,8.280264307194079,8.280264307194079,2.3681271642646124,-0.9039708336899285
11.150000000000002,5.7684195045007005,1.4071206239203877,8.447081237981827,8.447081237981827,2.3968015403672642,-1.2499231108406195
11.250000000000004,5.497028358412065,0.926707146475041,8.584131232775858,8.584131232775858,2.3548343658050976,-1.5389985547223548
11.350000000000003,5.220474971091349,0.432949853810621,8.677013002724856,8.677013002724856,2.3064813975441774,-1.768834093612424
11.450000000000003,4.975069249440958,-0.04998672076101151,8.725169754056076,8.725169754056076,2.321398926599303,-1.9463041466692423
11.550000000000002,4.767020387403161,-0.49265189850300234,8.737518104957857,8.737518104957857,2.434056906007381,-2.0774896836058745
11.650000000000002,4.554733770519392,-0.8769042700233224,8.721874708432695,8.721874708432695,2.6300797954667816,-2.1568076381512347
11.750000000000004,4.283504925884293,-1.1885375041301018,8.679566139115938,8.679566139115938,2.8613691920787576,-2.170111471764488
11.850000000000003,3.9276802374295574,-1.4084585661083744,8.609190598878321,8.609190598878321,3.074025778138814,-2.109151629995131
11.950000000000003,3.5013389752419064,-1.5182944159976322,8.512098889405951,8.512098889405951,3.228596538792298,-1.984760167771253
12.050000000000002,3.030376046023724,-1.5165389277670682,8.391851449449307,8.391851449449307,3.302801005300433,-1.8269161060899684
12.150000000000004,2.545080743527063,-1.419212344359423,8.249863830408929,8.249863830408929,3.2899547109975127,-1.67339001265319
12.250000000000004,2.083170491737314,-1.2350359967233122,8.085892085103835,8.085892085103835,3.1952577356969676,-1.555166959089293
12.350000000000003,1.6856357490529084,-0.9529649471195518,7.903937026722545,7.903937026722545,3.0347208419756617,-1.4859536572896577
12.450000000000003,1.3850728010652986,-0.5702198170803581,7.716329746059772,7.716329746059772,2.823172600150494,-1.45477465085438
12.550000000000002,1.1988998258843644,-0.11613043088608946,7.540312661199729,7.540312661199729,2.5644428989649093,-1.4290735590335613
12.650000000000004,1.1312844108211404,0.34960348358704607,7.390735130101608,7.390735130101608,2.2572881022690914,-1.3690234151690148
12.750000000000004,1.1701836513902861,0.7695287851077783,7.274975932925944,7.274975932925944,1.9208692358028587,-1.2480734808355283
12.850000000000003,1.2822756165776383,1.1081206689263725,7.190994362969661,7.190994362969661,1.6172140918564315,-1.0626549431556895
12.950000000000003,1.426076952714738,1.3623476071369789,7.128573174511278,7.128573174511278,1.4363681731710352,-0.8241406694374415
13.050000000000002,1.580413337387981,1.55832541912063,7.0756890049839205,7.0756890049839205,1.4488797373601905,-0.5437054412726171
13.150000000000004,1.7578494286011084,1.7452094043452748,7.02756254115411,7.02756254115411,1.6618193838599966,-0.2306513880519213
13.250000000000004,1.9835100054292814,1.9708465296517028,6.9904132701830575,6.9904132701830575,2.017485701850758,0.10122188254660236
13.350000000000003,2.2737925434270463,2.2601450115745583,6.9757125167183425,6.9757125167183425,2.4325401049962982,0.4367146701305385
13.450000000000003,2.632780763954798,2.621137876010921,6.991190389022956,6.991190389022956,2.8432071123961267,0.771427241799452
13.550000000000002,3.064793593497176,3.057006210180842,7.035142758425584,7.035142758425584,3.221460698889246,1.1118941903555994
